QuoteId,MinPrice,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
55,26264,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-15T07:49:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
56,34407,True,1914,43268,66270,2017-05-03T00:00:00,885,81678,43268,2017-05-09T00:00:00,2017-04-10T17:19:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Wizz Air,Flybe
57,25601,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-16T04:45:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
58,58028,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-11T00:00:00,2017-04-06T21:13:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
59,56532,False,838,43268,65698,2017-05-03T00:00:00,838,65698,43268,2017-05-11T00:00:00,2017-04-06T21:13:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
60,57922,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-19T00:00:00,2017-04-13T12:26:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
61,57777,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-20T00:00:00,2017-04-14T09:20:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
62,48244,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-21T00:00:00,2017-04-15T06:46:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
63,57777,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-27T00:00:00,2017-04-14T09:20:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
70,59705,True,1050,43268,65655,2017-05-04T00:00:00,1050,65655,43268,2017-05-04T00:00:00,2017-04-15T20:19:00,BUD,Budapest,Station,LGW,London Gatwick,Station,easyJet,easyJet
71,86007,True,881,43268,65698,2017-05-04T00:00:00,881,65698,43268,2017-05-05T00:00:00,2017-04-10T07:59:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
72,61993,False,1523,43268,65698,2017-05-04T00:00:00,1523,65698,43268,2017-05-05T00:00:00,2017-04-10T07:59:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Austrian Airlines,Austrian Airlines
73,28023,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-16T17:48:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
74,21040,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-16T11:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
75,21040,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-16T20:20:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
76,21040,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-15T17:07:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
77,20342,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-09T16:38:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
78,26157,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-11T00:00:00,2017-04-04T15:43:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
79,64120,True,881,43268,65698,2017-05-04T00:00:00,881,65698,43268,2017-05-12T00:00:00,2017-04-15T14:51:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
