QuoteId,MinPrice,Currency,Direct,OutboundLegCarrierIds,OutboundLegOriginId,OutboundLegDestinationId,OutboundLegDepartureDate,InboundLegCarrierIds,InboundLegOriginId,InboundLegDestinationId,InboundLegDepartureDate,QuoteDateTime,OutboundPlaceIataCode,OutboundPlaceName,OutboundPlaceType,InboundPlaceIataCode,InboundPlaceName,InboundPlaceType,OutboundCarrierName,InboundCarrierName
50,28420,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-05T00:00:00,2017-04-07T19:37:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
51,39027,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-17T10:44:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
52,23233,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-15T07:12:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
53,26264,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-16T02:51:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
54,34407,HUF,True,1914,43268,66270,2017-05-03T00:00:00,885,81678,43268,2017-05-09T00:00:00,2017-04-10T17:19:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Wizz Air,Flybe
55,25601,HUF,True,1914,43268,66270,2017-05-03T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-16T04:45:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
56,71152,HUF,True,881,43268,65698,2017-05-03T00:00:00,885,81678,43268,2017-05-11T00:00:00,2017-04-06T21:13:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,British Airways,Flybe
57,56532,HUF,False,838,43268,65698,2017-05-03T00:00:00,838,65698,43268,2017-05-11T00:00:00,2017-04-06T21:13:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
58,57922,HUF,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-19T00:00:00,2017-04-13T12:26:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
59,58161,HUF,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-20T00:00:00,2017-04-12T20:17:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
60,48242,HUF,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-21T00:00:00,2017-04-17T09:06:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
61,57777,HUF,True,881,43268,65698,2017-05-03T00:00:00,881,65698,43268,2017-05-27T00:00:00,2017-04-14T09:20:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
68,27431,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-04T00:00:00,2017-04-09T22:25:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
69,72666,HUF,True,881,43268,65698,2017-05-04T00:00:00,881,65698,43268,2017-05-05T00:00:00,2017-04-10T09:04:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
70,61993,HUF,False,1523,43268,65698,2017-05-04T00:00:00,1523,65698,43268,2017-05-05T00:00:00,2017-04-10T09:04:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Austrian Airlines,Austrian Airlines
71,28023,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-16T17:48:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
72,21040,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-17T10:44:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
73,28302,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-17T03:54:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
74,21040,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-09T00:00:00,2017-04-15T17:07:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
75,20342,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-10T00:00:00,2017-04-09T16:38:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
76,19957,HUF,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-11T00:00:00,2017-04-04T08:08:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
77,64120,HUF,True,881,43268,65698,2017-05-04T00:00:00,881,65698,43268,2017-05-12T00:00:00,2017-04-15T14:51:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
78,60033,HUF,False,838,43268,65698,2017-05-04T00:00:00,838,65698,43268,2017-05-12T00:00:00,2017-04-15T14:51:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Air France,Air France
79,21753,HUF,True,1914,43268,66270,2017-05-04T00:00:00,1914,66270,43268,2017-05-13T00:00:00,2017-04-12T08:50:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
80,59126,HUF,True,881,43268,65698,2017-05-04T00:00:00,881,65698,43268,2017-05-14T00:00:00,2017-04-17T05:44:00,BUD,Budapest,Station,LHR,London Heathrow,Station,British Airways,British Airways
81,55635,HUF,False,1710,43268,65698,2017-05-04T00:00:00,1710,65698,43268,2017-05-14T00:00:00,2017-04-17T05:44:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Brussels Airlines,Brussels Airlines
82,51383,HUF,True,885,43268,81678,2017-05-04T00:00:00,881,65698,43268,2017-05-15T00:00:00,2017-04-13T09:27:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Flybe,British Airways
83,37664,HUF,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-16T00:00:00,2017-04-15T17:31:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
84,25955,HUF,True,885,43268,81678,2017-05-04T00:00:00,885,81678,43268,2017-05-18T00:00:00,2017-04-16T12:37:00,BUD,Budapest,Station,SEN,London Southend Mncpl,Station,Flybe,Flybe
85,71246,HUF,True,1050,43268,65655,2017-05-04T00:00:00,1050,65655,43268,2017-05-19T00:00:00,2017-04-15T18:39:00,BUD,Budapest,Station,LGW,London Gatwick,Station,easyJet,easyJet
86,55715,HUF,False,1050,43268,65655,2017-05-04T00:00:00,1218,65655,43268,2017-05-19T00:00:00,2017-04-16T09:40:00,BUD,Budapest,Station,LGW,London Gatwick,Station,easyJet,Iberia
87,64135,HUF,False,1523,43268,65698,2017-05-04T00:00:00,1523,65698,43268,2017-05-20T00:00:00,2017-04-13T10:08:00,BUD,Budapest,Station,LHR,London Heathrow,Station,Austrian Airlines,Austrian Airlines
88,51316,HUF,False,885,43268,81678,2017-05-04T00:00:00,1001,65655,43268,2017-05-22T00:00:00,2017-04-13T08:52:00,BUD,Budapest,Station,LGW,London Gatwick,Station,Flybe,Norwegian
91,29609,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-05T00:00:00,2017-04-17T10:03:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
92,24894,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-06T00:00:00,2017-04-17T07:56:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
93,17911,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-07T00:00:00,2017-04-17T06:58:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
94,17911,HUF,True,1914,43268,66270,2017-05-05T00:00:00,1914,66270,43268,2017-05-08T00:00:00,2017-04-17T07:50:00,BUD,Budapest,Station,LTN,London Luton,Station,Wizz Air,Wizz Air
